sampling_days,coyote,fox squirrel,gray squirrel,opossum,rabbit,raccoon,red fox,skunk
1,0.0672324505878501,0.138238273172494,0.204240302284092,0.158424178844956,0.167981614866076,0.231475216500982,0.0666080355750907,0.0710943040842872
2,0.129944698763652,0.257366726175275,0.366766503491086,0.291750137247213,0.307745406799137,0.409369657147788,0.128779440747009,0.137134208095345
3,0.188440648812722,0.360027067549241,0.496098304234479,0.403954040170876,0.424031451263476,0.546085943631553,0.186809730751482,0.198479051088944
4,0.243003772790529,0.448495820608371,0.599015338899096,0.498382131910659,0.520783578192307,0.651155798102279,0.240974737134905,0.255462625160753
5,0.293898484231578,0.524734806014883,0.680912567293628,0.57785053075667,0.601283126597906,0.731904585261666,0.291531918846216,0.308394991689691
6,0.341371419500485,0.590434645730376,0.746083081004632,0.644729213771378,0.668260230866342,0.793962029431143,0.338721585999523,0.35756416845672
7,0.385652632994664,0.64705225305589,0.797943149295292,0.70101269634725,0.723986413000713,0.841654713275992,0.382768042124307,0.4032376968191
8,0.426956711990626,0.695843140113566,0.839211301561793,0.748379514413504,0.770351621069831,0.878307722802342,0.423880650332574,0.445664097467483
9,0.465483816536416,0.737889259197835,0.872050833934678,0.788242283223114,0.808928326613897,0.906476469013167,0.46225482847072,0.485074222686967
10,0.501420649429537,0.774122995386289,0.898183210288857,0.821789825617575,0.841024854864458,0.928124848596281,0.498072977986275,0.521682512480098
11,0.534941360980888,0.805347842453464,0.918978302197056,0.850022626155927,0.867729756467895,0.944762164828498,0.531505350924665,0.55568816138667
12,0.566208392949194,0.832256220581997,0.9355261982479,0.873782668452497,0.889948725575147,0.957548354683867,0.562710859177014,0.587276202349295
13,0.595373265735661,0.85544483098417,0.948694347007153,0.893778545558912,0.908435316371104,0.967374858474242,0.591837829825553,0.616618513522296
14,0.622577312653611,0.875427887927076,0.959173029083295,0.910606592254458,0.923816499791787,0.974926770172292,0.619024710176938,0.643874753502228
15,0.647952364831361,0.892648521585488,0.967511541964667,0.924768669470698,0.936613927182913,0.980730601475039,0.644400725834703,0.669193230068832
16,0.671621390067406,0.907488604584024,0.974146994454547,0.936687131233216,0.947261622054746,0.985190989670448,0.668086494938782,0.69271170716346
17,0.693699088733806,0.920277220135106,0.979427220122103,0.946717420477912,0.956120699947407,0.988618908542647,0.690194601491752,0.714558154495922
18,0.714292449615524,0.93129795955614,0.983629010903189,0.95515866938544,0.963491615629435,0.991253349151755,0.710830130496945,0.734851443858569
19,0.733501268379324,0.940795210990526,0.986972626665011,0.962262620366367,0.969624352992154,0.993277982050511,0.730091167452049,0.753701995936398
20,0.751418631184736,0.948979578786738,0.989633341332917,0.968241133746586,0.974726903229133,0.994833962610692,0.748069264572434,0.771212381132648
21,0.768131365780668,0.956032553711792,0.991750630832758,0.97327250605383,0.97897231883737,0.996029772233835,0.764849875960252,0.787477877679124
22,0.783720462273692,0.962110537562479,0.993435484485129,0.977506787334835,0.982504582675958,0.996948781565566,0.780512763787778,0.802586990068042
23,0.798261465607039,0.967348311421276,0.994776223118234,0.981070256080899,0.985443491130806,0.997655063013268,0.79513237742568,0.816621930626339
24,0.811824841652279,0.971862024466565,0.995843128887631,0.984069185217028,0.987888716997466,0.998197857809953,0.808778207318295,0.82965906685278
25,0.824476318687753,0.975751769614877,0.996692129500177,0.986593011467351,0.989923189874331,0.99861500906356,0.821515115287971,0.84176933695195
26,0.836277205918576,0.979103803110805,0.997367729970978,0.98871700261642,0.99161590871194,0.998935600140424,0.833403642838485,0.853018635826146
27,0.84728469058176,0.98199245728464,0.997905345597399,0.990504502211823,0.993024281905693,0.999181982328363,0.84450029892298,0.863468173625445
28,0.85755211507623,0.984481788893691,0.998333158445767,0.992008818651639,0.994196074296025,0.999371333146007,0.854857828544234,0.873174808806901
