,city,site,raccoon,coyote,rabbit,opossum,skunk,redfox,graysquirrel,foxsquirrel,J,site_code,year
NA,inin,3-2-18,28,3,0,12,0,0,0,2,42,inin-003,2018
NA,inin,4-2-18,4,0,0,10,0,0,0,6,42,inin-004,2018
NA,inin,7-2-18,2,3,18,4,0,0,0,5,41,inin-007,2018
NA,inin,8-2-18,5,1,0,0,0,0,0,1,41,inin-008,2018
NA,inin,9-2-18,29,3,3,6,0,3,0,19,42,inin-009,2018
NA,inin,10-2-18,2,2,0,0,0,0,0,0,15,inin-010,2018
NA,inin,11-2-18,13,1,0,3,0,0,0,8,27,inin-011,2018
NA,inin,14-2-18,29,0,10,8,0,0,0,3,42,inin-014,2018
NA,inin,16-2-18,10,0,0,3,0,0,0,2,40,inin-016,2018
NA,inin,17-2-18,7,0,0,3,0,0,0,3,34,inin-017,2018
NA,inin,18-2-18,1,0,18,2,0,0,0,0,35,inin-018,2018
NA,inin,23-2-18,2,1,0,0,0,0,0,15,40,inin-023,2018
NA,inin,24-2-18,8,0,0,0,0,0,0,0,40,inin-024,2018
NA,inin,26-2-18,2,1,0,0,0,0,0,0,40,inin-026,2018
NA,inin,27-2-18,2,1,0,0,0,0,0,0,40,inin-027,2018
NA,inin,30-2-18,NA,NA,NA,NA,NA,NA,NA,NA,0,inin-030,2018
NA,inin,31-2-18,13,0,0,11,0,0,0,1,17,inin-031,2018
NA,inin,32-2-18,2,0,2,18,0,0,0,32,43,inin-032,2018
NA,inin,34-2-18,8,0,0,0,0,29,0,0,43,inin-034,2018
NA,inin,35-2-18,1,0,3,2,0,0,0,2,43,inin-035,2018
NA,inin,36-2-18,3,0,0,0,0,0,0,0,16,inin-036,2018
NA,inin,40-2-18,12,0,0,2,0,1,0,4,43,inin-040,2018
NA,inin,41-2-18,7,0,1,0,0,0,0,1,43,inin-041,2018
NA,inin,42-2-18,24,0,8,8,0,4,0,7,43,inin-042,2018
NA,inin,46-2-18,7,1,1,0,0,0,1,6,31,inin-046,2018
NA,inin,47-2-18,18,0,1,4,0,0,0,11,43,inin-047,2018
NA,inin,48-2-18,14,0,6,15,0,0,0,2,43,inin-048,2018
NA,inin,49-2-18,6,0,5,15,0,0,0,0,43,inin-049,2018
NA,inin,50-2-18,20,1,13,12,0,0,0,15,43,inin-050,2018
NA,inin,51-2-18,31,0,14,15,0,0,0,3,43,inin-051,2018
NA,inin,52-2-18,30,0,0,5,0,0,0,5,43,inin-052,2018
NA,inin,53-2-18,19,1,1,0,0,0,0,6,43,inin-053,2018
NA,inin,55-2-18,0,0,1,0,0,0,0,0,43,inin-055,2018
NA,inin,56-2-18,3,0,0,0,0,0,0,0,43,inin-056,2018
NA,inin,57-2-18,41,0,12,6,0,0,0,20,42,inin-057,2018
NA,inin,61-2-18,39,2,0,2,0,0,0,7,42,inin-061,2018
NA,inin,62-2-18,7,1,8,6,0,0,0,2,29,inin-062,2018
NA,inin,64-2-18,30,0,0,5,0,1,0,8,41,inin-064,2018
NA,inin,66-2-18,33,0,1,20,0,0,0,31,41,inin-066,2018
NA,inin,67-2-18,1,5,1,1,0,0,0,0,40,inin-067,2018
NA,inin,68-2-18,17,3,7,13,0,0,0,7,40,inin-068,2018
NA,inin,69-2-18,0,0,0,0,0,0,0,0,42,inin-069,2018
NA,inin,70-2-18,11,0,0,2,0,9,0,1,41,inin-070,2018
NA,inin,71-2-18,6,3,3,3,0,0,0,2,42,inin-071,2018
NA,inin,72-2-18,1,0,0,0,0,0,0,1,40,inin-072,2018
