X,city,site,raccoon,coyote,rabbit,opossum,skunk,redfox,graysquirrel,foxsquirrel,J,site_code,year
691,maks,752-2-16,0,0,5,7,0,0,0,3,38,maks-752-2,2016
692,maks,753-2-16,0,0,8,0,0,0,0,0,21,maks-753-2,2016
693,maks,754-2-16,1,0,0,0,0,0,0,1,38,maks-754-2,2016
694,maks,755-2-16,5,2,0,0,0,0,0,2,42,maks-755-2,2016
695,maks,756-2-16,4,0,1,2,0,0,0,1,28,maks-756-2,2016
696,maks,757-2-16,3,1,0,0,0,0,0,0,38,maks-757-2,2016
697,maks,758-2-16,18,2,0,21,0,0,0,0,29,maks-758-2,2016
698,maks,759-2-16,1,0,0,0,1,0,0,0,29,maks-759-2,2016
699,maks,760-2-16,2,0,0,0,0,0,0,1,29,maks-760-2,2016
700,maks,761-2-16,0,1,0,1,0,0,0,0,28,maks-761-2,2016
701,maks,762-2-16,17,0,0,1,0,8,0,0,31,maks-762-2,2016
702,maks,763-2-16,27,1,0,0,0,0,0,0,31,maks-763-2,2016
703,maks,764-2-16,0,0,0,0,0,0,0,0,24,maks-764-2,2016
704,maks,765-2-16,0,0,0,0,0,0,0,0,24,maks-765-2,2016
705,maks,766-2-16,5,1,0,8,0,0,0,0,22,maks-766-2,2016
706,maks,767-2-16,1,0,0,0,0,1,0,0,24,maks-767-2,2016
707,maks,768-2-16,0,0,0,0,0,0,0,0,22,maks-768-2,2016
708,maks,769-2-16,9,1,0,0,0,0,0,0,22,maks-769-2,2016
709,maks,770-2-16,9,1,4,10,0,0,0,0,22,maks-770-2,2016
710,maks,771-2-16,10,1,8,9,0,0,0,2,39,maks-771-2,2016
711,maks,772-2-16,0,0,0,0,0,0,0,0,28,maks-772-2,2016
712,maks,773-2-16,0,0,0,0,0,0,0,0,26,maks-773-2,2016
713,maks,774-2-16,4,0,0,6,0,0,0,0,31,maks-774-2,2016
714,maks,775-2-16,4,1,0,0,0,0,0,0,19,maks-775-2,2016
715,maks,776-2-16,0,0,0,0,0,0,0,0,20,maks-776-2,2016
716,maks,777-2-16,8,1,0,0,0,0,0,0,31,maks-777-2,2016
717,maks,778-2-16,7,5,0,1,0,0,0,0,31,maks-778-2,2016
718,maks,779-2-16,4,3,0,8,1,0,0,0,27,maks-779-2,2016
719,maks,780-2-16,12,0,1,12,0,10,0,12,21,maks-780-2,2016
720,maks,781-2-16,2,1,0,1,0,0,0,1,31,maks-781-2,2016
721,maks,782-2-16,2,0,0,0,0,0,0,0,31,maks-782-2,2016
722,maks,783-2-16,5,5,0,0,0,0,0,0,31,maks-783-2,2016
723,maks,784-2-16,0,0,0,0,0,0,0,0,22,maks-784-2,2016
724,maks,785-2-16,3,1,0,0,0,0,0,0,22,maks-785-2,2016
725,maks,786-2-16,2,0,1,3,0,0,0,0,22,maks-786-2,2016
726,maks,787-2-16,4,1,0,0,0,0,0,0,22,maks-787-2,2016
727,maks,788-2-16,3,1,0,0,0,0,0,0,22,maks-788-2,2016
728,maks,789-2-16,0,1,8,1,0,0,0,2,34,maks-789-2,2016
729,maks,790-2-16,7,0,2,2,0,0,0,17,31,maks-790-2,2016
730,maks,791-2-16,7,0,11,4,0,0,0,7,30,maks-791-2,2016
731,maks,792-2-16,0,0,0,0,0,0,0,0,30,maks-792-2,2016
732,maks,793-2-16,14,2,2,2,0,0,0,4,27,maks-793-2,2016
733,maks,794-2-16,0,0,0,0,0,0,0,0,31,maks-794-2,2016
734,maks,795-2-16,22,3,0,0,0,9,0,3,31,maks-795-2,2016
735,maks,796-2-16,13,18,0,1,0,0,0,4,50,maks-796-2,2016
736,maks,797-2-16,3,0,0,0,0,0,0,0,32,maks-797-2,2016
737,maks,798-2-16,4,1,2,1,0,0,0,0,30,maks-798-2,2016
738,maks,799-2-16,6,0,0,1,0,0,0,0,34,maks-799-2,2016
739,maks,800-2-16,1,0,0,0,1,0,0,0,34,maks-800-2,2016
740,maks,801-2-16,2,1,4,2,0,0,0,0,34,maks-801-2,2016
741,maks,802-2-16,0,0,0,0,0,0,0,0,34,maks-802-2,2016
742,maks,803-2-16,0,3,10,0,0,0,0,0,27,maks-803-2,2016
743,maks,804-2-16,0,3,0,0,0,0,0,0,34,maks-804-2,2016
744,maks,805-2-16,1,13,0,0,0,0,0,0,33,maks-805-2,2016
745,maks,806-2-16,3,0,0,0,0,0,0,1,27,maks-806-2,2016
746,maks,807-2-16,2,0,0,0,0,0,0,0,52,maks-807-2,2016
747,maks,808-2-16,5,4,3,1,0,0,0,3,33,maks-808-2,2016
748,maks,809-2-16,8,2,0,5,0,0,0,0,33,maks-809-2,2016
749,maks,810-2-16,6,2,0,0,0,0,0,0,28,maks-810-2,2016
750,maks,811-2-16,11,1,0,2,0,0,0,1,32,maks-811-2,2016
751,maks,812-2-16,4,0,0,0,0,0,0,0,34,maks-812-2,2016
752,maks,813-2-16,4,1,0,0,0,0,0,0,34,maks-813-2,2016
753,maks,814-2-16,3,0,0,5,0,6,0,0,21,maks-814-2,2016
754,maks,815-2-16,12,1,0,1,0,0,0,0,32,maks-815-2,2016
755,maks,816-2-16,2,0,0,0,0,0,0,0,30,maks-816-2,2016
756,maks,817-2-16,10,0,16,17,0,0,0,11,38,maks-817-2,2016
757,maks,818-2-16,5,0,10,5,0,0,0,1,28,maks-818-2,2016
758,maks,819-2-16,2,2,6,0,1,3,0,8,34,maks-819-2,2016
759,maks,820-2-16,20,1,1,17,0,0,0,0,34,maks-820-2,2016
760,maks,821-2-16,3,1,0,0,0,0,0,0,34,maks-821-2,2016
761,maks,822-2-16,3,0,0,6,0,0,0,0,34,maks-822-2,2016
762,maks,823-2-16,0,3,0,0,0,0,0,0,34,maks-823-2,2016
763,maks,824-2-16,14,1,1,7,0,0,0,0,34,maks-824-2,2016
764,maks,825-2-16,6,0,0,3,0,0,0,0,34,maks-825-2,2016
