"foxsquirrel","1.11 (0.57 - 1.94)","0.95 (0.55 - 1.57)"
"graysquirrel","1.36 (0.65 - 2.56)","0.70 (0.38 - 1.23)"
"opossum","0.79 (0.40 - 1.46)","0.66 (0.37 - 1.12)"
"rabbit","0.66 (0.36 - 1.14)","0.81 (0.47 - 1.32)"
"raccoon","0.80 (0.44 - 1.36)","0.71 (0.45 - 1.10)"
"redfox","1.44 (0.63 - 2.74)","1.54 (0.70 - 2.89)"
"skunk","0.76 (0.39 - 1.38)","1.16 (0.59 - 2.02)"
"foxsquirrel","1.11 (0.57 - 1.94)","0.95 (0.55 - 1.57)"
"graysquirrel","1.36 (0.65 - 2.56)","0.70 (0.38 - 1.23)"
"opossum","0.79 (0.40 - 1.46)","0.66 (0.37 - 1.12)"
"rabbit","0.66 (0.36 - 1.14)","0.81 (0.47 - 1.32)"
"raccoon","0.80 (0.44 - 1.36)","0.71 (0.45 - 1.10)"
"redfox","1.44 (0.63 - 2.74)","1.54 (0.70 - 2.89)"
"skunk","0.76 (0.39 - 1.38)","1.16 (0.59 - 2.02)"
